scenario,endpoint,cv_method,n_pos,n_neg,auc_age,auc_age_gene,delta_auc,delta_auc_ci_low,delta_auc_ci_high,delta_auc_estimator,ci_estimator,n_boot_total,n_boot_valid,n_boot_dropped,boot_drop_rate,delta_auc_boot_mean,delta_auc_boot_median,note,warnings
Primary,doku_anomalisi_var_rt,LOO,10,24,0.0,0.5958333333333333,0.5958333333333333,0.3821904761904761,0.818240093240093,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,0.5993914244457209,0.6007905138339921,,AUC < 0.5
Primary,doku_anomalisi_var_rt,RSKF,10,24,0.29483333333333334,0.6368750000000001,0.34204166666666674,0.3477971014492753,0.798439558629776,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,0.5743409898787672,0.5767195767195767,delta_auc_boot_mean materially differs from delta_auc,AUC < 0.5
Primary,gingivitis,LOO,11,23,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.14222397891963112,0.09884387351778628,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,-0.013614777937355323,-0.010471491228070229,,
Primary,gingivitis,RSKF,11,23,0.8268774703557312,0.8084584980237155,-0.018418972332015726,-0.12444688644688648,0.09643165024630539,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,-0.01002997531523581,-0.0077404479578392915,,
Primary,caries_any_rt,LOO,24,10,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.0400416666666667,0.2583333333333333,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,0.09782392204733353,0.09309523809523801,,
Primary,caries_any_rt,RSKF,24,10,0.83025,0.9063333333333332,0.07608333333333317,-0.03953754940711472,0.2222222222222222,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,0.08183356189557142,0.07905138339920947,,
k=3,doku_anomalisi_var_rt,LOO,10,24,0.0,0.5958333333333333,0.5958333333333333,0.3821904761904761,0.818240093240093,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,0.5993914244457209,0.6007905138339921,,AUC < 0.5
k=3,doku_anomalisi_var_rt,RSKF,10,24,0.29483333333333334,0.6368750000000001,0.34204166666666674,0.3477971014492753,0.798439558629776,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,0.5743409898787672,0.5767195767195767,delta_auc_boot_mean materially differs from delta_auc,AUC < 0.5
k=3,gingivitis,LOO,11,23,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.14222397891963112,0.09884387351778628,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,-0.013614777937355323,-0.010471491228070229,,
k=3,gingivitis,RSKF,11,23,0.8268774703557312,0.8084584980237155,-0.018418972332015726,-0.12444688644688648,0.09643165024630539,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,-0.01002997531523581,-0.0077404479578392915,,
k=3,caries_any_rt,LOO,24,10,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.0400416666666667,0.2583333333333333,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,0.09782392204733353,0.09309523809523801,,
k=3,caries_any_rt,RSKF,24,10,0.83025,0.9063333333333332,0.07608333333333317,-0.03953754940711472,0.2222222222222222,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,0.08183356189557142,0.07905138339920947,,
k=4,doku_anomalisi_var_rt,LOO,10,24,0.0,0.5958333333333333,0.5958333333333333,0.3821904761904761,0.818240093240093,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,0.5993914244457209,0.6007905138339921,,AUC < 0.5
k=4,doku_anomalisi_var_rt,RSKF,10,24,0.29483333333333334,0.6368750000000001,0.34204166666666674,0.3477971014492753,0.798439558629776,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,0.5743409898787672,0.5767195767195767,delta_auc_boot_mean materially differs from delta_auc,AUC < 0.5
k=4,gingivitis,LOO,11,23,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.14222397891963112,0.09884387351778628,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,-0.013614777937355323,-0.010471491228070229,,
k=4,gingivitis,RSKF,11,23,0.8268774703557312,0.8084584980237155,-0.018418972332015726,-0.12444688644688648,0.09643165024630539,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,-0.01002997531523581,-0.0077404479578392915,,
k=4,caries_any_rt,LOO,24,10,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.0400416666666667,0.2583333333333333,loo_auc,paired_bootstrap_on_oof_probs,2000,2000,0,0.0,0.09782392204733353,0.09309523809523801,,
k=4,caries_any_rt,RSKF,24,10,0.83025,0.9063333333333332,0.07608333333333317,-0.03953754940711472,0.2222222222222222,mean_auc_over_repeats,paired_bootstrap_on_mean_oof_probs,2000,2000,0,0.0,0.08183356189557142,0.07905138339920947,,
