Scenario,Symbol,Mapped_Group,Is_Duplicate_Scenario
Primary,COL1A2,COL1A2,None
Primary,P3H1,P3H1,None
Primary,COL1A1,COL1A1,None
Primary,WNT1,Other,None
Primary,PRDM5,Other,None
Primary,ALX3,Other,None
Primary,LTBP3,Other,None
Primary,FKBP10,FKBP10,None
Primary,LRP5,Other,None
k=3,COL1A2,COL1A2,Primary
k=3,P3H1,P3H1,Primary
k=3,COL1A1,COL1A1,Primary
k=3,WNT1,Other,Primary
k=3,PRDM5,Other,Primary
k=3,ALX3,Other,Primary
k=3,LTBP3,Other,Primary
k=3,FKBP10,FKBP10,Primary
k=3,LRP5,Other,Primary
k=4,COL1A2,COL1A2,Primary
k=4,P3H1,P3H1,Primary
k=4,COL1A1,COL1A1,Primary
k=4,WNT1,Other,Primary
k=4,PRDM5,Other,Primary
k=4,ALX3,Other,Primary
k=4,LTBP3,Other,Primary
k=4,FKBP10,FKBP10,Primary
k=4,LRP5,Other,Primary
