scenario,endpoint,cv_method,auc_age,auc_age_gene,delta_auc,warnings
Primary,doku_anomalisi_var_rt,LOO,0.0,0.5958333333333333,0.5958333333333333,AUC < 0.5
Primary,doku_anomalisi_var_rt,RSKF,0.29483333333333334,0.6368750000000001,0.34204166666666674,AUC < 0.5
Primary,gingivitis,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,
Primary,gingivitis,RSKF,0.8268774703557312,0.8084584980237155,-0.018418972332015726,
Primary,caries_any_rt,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,
Primary,caries_any_rt,RSKF,0.83025,0.9063333333333332,0.07608333333333317,
k=3,doku_anomalisi_var_rt,LOO,0.0,0.5958333333333333,0.5958333333333333,AUC < 0.5
k=3,doku_anomalisi_var_rt,RSKF,0.29483333333333334,0.6368750000000001,0.34204166666666674,AUC < 0.5
k=3,gingivitis,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,
k=3,gingivitis,RSKF,0.8268774703557312,0.8084584980237155,-0.018418972332015726,
k=3,caries_any_rt,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,
k=3,caries_any_rt,RSKF,0.83025,0.9063333333333332,0.07608333333333317,
k=4,doku_anomalisi_var_rt,LOO,0.0,0.5958333333333333,0.5958333333333333,AUC < 0.5
k=4,doku_anomalisi_var_rt,RSKF,0.29483333333333334,0.6368750000000001,0.34204166666666674,AUC < 0.5
k=4,gingivitis,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,
k=4,gingivitis,RSKF,0.8268774703557312,0.8084584980237155,-0.018418972332015726,
k=4,caries_any_rt,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,
k=4,caries_any_rt,RSKF,0.83025,0.9063333333333332,0.07608333333333317,
