scenario,endpoint,p_base,loo_p_min,loo_p_max,loo_delta_p_max_abs,loo_most_influential_id,infra_exclusion_p,infra_exclusion_delta_p
Primary,doku_anomalisi_var_rt,0.09603389929848109,0.03922527642144214,0.15020627568637365,0.05680862287703895,28,0.11246553337688858,0.01643163407840749
Primary,gingivitis,0.7008835742096772,0.408373065953603,0.845985047241729,0.29251050825607416,22,0.7685596179436351,0.06767604373395797
Primary,caries_any_rt,0.08309492786795941,0.03710623508794272,0.15195363831662648,0.06885871044866707,5,0.15195363831662648,0.06885871044866707
Primary,caries_count,0.25680838659371413,0.12176074306105797,0.3992094682418196,0.14240108164810544,30,0.3291514088601804,0.07234302226646627
k=3,doku_anomalisi_var_rt,0.09603389929848109,0.03922527642144214,0.15020627568637365,0.05680862287703895,28,0.11246553337688858,0.01643163407840749
k=3,gingivitis,0.7008835742096772,0.408373065953603,0.845985047241729,0.29251050825607416,22,0.7685596179436351,0.06767604373395797
k=3,caries_any_rt,0.08309492786795941,0.03710623508794272,0.15195363831662648,0.06885871044866707,5,0.15195363831662648,0.06885871044866707
k=3,caries_count,0.25680838659371413,0.12176074306105797,0.3992094682418196,0.14240108164810544,30,0.3291514088601804,0.07234302226646627
k=4,doku_anomalisi_var_rt,0.09603389929848109,0.03922527642144214,0.15020627568637365,0.05680862287703895,28,0.11246553337688858,0.01643163407840749
k=4,gingivitis,0.7008835742096772,0.408373065953603,0.845985047241729,0.29251050825607416,22,0.7685596179436351,0.06767604373395797
k=4,caries_any_rt,0.08309492786795941,0.03710623508794272,0.15195363831662648,0.06885871044866707,5,0.15195363831662648,0.06885871044866707
k=4,caries_count,0.25680838659371413,0.12176074306105797,0.3992094682418196,0.14240108164810544,30,0.3291514088601804,0.07234302226646627
