scenario,endpoint,cv_method,auc_age,auc_age_gene,delta_auc,delta_auc_ci_low,delta_auc_ci_high,warnings
Primary,doku_anomalisi_var_rt,LOO,0.0,0.5958333333333333,0.5958333333333333,0.3708217592592592,0.8076923076923077,AUC < 0.5
Primary,doku_anomalisi_var_rt,RSKF,0.29483333333333334,0.6368750000000001,0.34204166666666674,0.24562500000000012,0.448125,AUC < 0.5
Primary,gingivitis,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.15117261904761914,0.09166666666666667,
Primary,gingivitis,RSKF,0.8268774703557312,0.8084584980237155,-0.01841897233201578,-0.09288537549407117,0.04016798418972339,
Primary,caries_any_rt,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.03666125541125528,0.2482858967341726,
Primary,caries_any_rt,RSKF,0.83025,0.9063333333333332,0.07608333333333334,0.03588541666666665,0.11156249999999995,
k=3,doku_anomalisi_var_rt,LOO,0.0,0.5958333333333333,0.5958333333333333,0.3825669191919192,0.8077222222222221,AUC < 0.5
k=3,doku_anomalisi_var_rt,RSKF,0.29483333333333334,0.6368750000000001,0.34204166666666674,0.24562500000000012,0.448125,AUC < 0.5
k=3,gingivitis,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.15116931216931215,0.09338095238095216,
k=3,gingivitis,RSKF,0.8268774703557312,0.8084584980237155,-0.01841897233201578,-0.09288537549407117,0.04016798418972339,
k=3,caries_any_rt,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.041706730769230836,0.2569226425748165,
k=3,caries_any_rt,RSKF,0.83025,0.9063333333333332,0.07608333333333334,0.03588541666666665,0.11156249999999995,
k=4,doku_anomalisi_var_rt,LOO,0.0,0.5958333333333333,0.5958333333333333,0.3845833333333333,0.8083630952380952,AUC < 0.5
k=4,doku_anomalisi_var_rt,RSKF,0.29483333333333334,0.6368750000000001,0.34204166666666674,0.24562500000000012,0.448125,AUC < 0.5
k=4,gingivitis,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.14625559947299083,0.10001322751322753,
k=4,gingivitis,RSKF,0.8268774703557312,0.8084584980237155,-0.01841897233201578,-0.09288537549407117,0.04016798418972339,
k=4,caries_any_rt,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.045454545454545414,0.24542606516290727,
k=4,caries_any_rt,RSKF,0.83025,0.9063333333333332,0.07608333333333334,0.03588541666666665,0.11156249999999995,
