Scenario,Symbol,Mapped_Group,Is_Duplicate
Primary,COL1A2,COL1A2,None
Primary,P3H1,P3H1,None
Primary,COL1A1,COL1A1,None
Primary,WNT1,Other,None
Primary,PRDM5,Other,None
Primary,Other,Other,None
Primary,FKBP10,FKBP10,None
k=3,COL1A2,COL1A2,Primary
k=3,P3H1,P3H1,Primary
k=3,COL1A1,COL1A1,Primary
k=3,WNT1,Other,Primary
k=3,PRDM5,Other,Primary
k=3,Other,Other,Primary
k=3,FKBP10,FKBP10,Primary
k=4,COL1A2,COL1A2,Primary
k=4,P3H1,P3H1,Primary
k=4,COL1A1,COL1A1,Primary
k=4,WNT1,Other,Primary
k=4,PRDM5,Other,Primary
k=4,Other,Other,Primary
k=4,FKBP10,FKBP10,Primary
