scenario,endpoint,test,statistic,p_classic,p_permutation,expected_min,effect_size_name,effect_size_value,epsilon2_primary,epsilon2_alt,kw_n,kw_k,p_holm_primary_family_classic,p_holm_binary_family_perm
Primary,doku_anomalisi_var_rt,Chi2_Perm,7.881051587301588,0.09603389929848109,0.0941,1.4705882352941178,CramerV,0.48145159146131705,,,,,0.28810169789544327,0.22169999999999998
Primary,gingivitis,Chi2_Perm,2.1898738942217206,0.7008835742096772,0.7666,1.6176470588235294,CramerV,0.25378742228960743,,,,,0.7008835742096772,0.7666
Primary,caries_any_rt,Chi2_Perm,8.242301587301586,0.08309492786795941,0.0739,1.4705882352941178,CramerV,0.4923623004664704,,,,,,0.22169999999999998
Primary,caries_count,Kruskal,5.311434807256259,0.25680838659371413,,,Epsilon2,0.04522188990538825,0.04522188990538825,0.16095256991685636,34.0,5.0,0.5136167731874283,
k=3,doku_anomalisi_var_rt,Chi2_Perm,7.881051587301588,0.09603389929848109,0.0866,1.4705882352941178,CramerV,0.48145159146131705,,,,,0.28810169789544327,0.22169999999999998
k=3,gingivitis,Chi2_Perm,2.1898738942217206,0.7008835742096772,0.7646,1.6176470588235294,CramerV,0.25378742228960743,,,,,0.7008835742096772,0.7666
k=3,caries_any_rt,Chi2_Perm,8.242301587301586,0.08309492786795941,0.0751,1.4705882352941178,CramerV,0.4923623004664704,,,,,,0.22169999999999998
k=3,caries_count,Kruskal,5.311434807256259,0.25680838659371413,,,Epsilon2,0.04522188990538825,0.04522188990538825,0.16095256991685636,34.0,5.0,0.5136167731874283,
k=4,doku_anomalisi_var_rt,Chi2_Perm,7.881051587301588,0.09603389929848109,0.0928,1.4705882352941178,CramerV,0.48145159146131705,,,,,0.28810169789544327,0.22169999999999998
k=4,gingivitis,Chi2_Perm,2.1898738942217206,0.7008835742096772,0.7658,1.6176470588235294,CramerV,0.25378742228960743,,,,,0.7008835742096772,0.7666
k=4,caries_any_rt,Chi2_Perm,8.242301587301586,0.08309492786795941,0.0758,1.4705882352941178,CramerV,0.4923623004664704,,,,,,0.22169999999999998
k=4,caries_count,Kruskal,5.311434807256259,0.25680838659371413,,,Epsilon2,0.04522188990538825,0.04522188990538825,0.16095256991685636,34.0,5.0,0.5136167731874283,
