Degisken,Ozet_1,Ozet_2,Not
Orneklem (n),34,,
Yas (yil),Medyan 11.0 (IQR 6.0–14.8),Ortalama 10.47 ± 5.33,Min–Maks 2–18
Dentisyon donemi (yas temelli),,,
Süt (0–<6),8/34 (23.5%),,
Miks (6–<14),14/34 (41.2%),,
Daimi (14–18),12/34 (35.3%),,
Gen dagilimi,,,
P3H1,8/34 (23.5%),,
FKBP10,8/34 (23.5%),,
COL1A2,7/34 (20.6%),,
COL1A1,6/34 (17.6%),,
WNT1,1/34 (2.9%),,
PRDM5,1/34 (2.9%),,
ALX3,1/34 (2.9%),,
LTBP3,1/34 (2.9%),,
LRP5,1/34 (2.9%),,
Okuluzyon tipi (occl_tip),,,
Angle I,27/34 (79.4%),,
Angle II,1/34 (2.9%),,
Angle III,5/34 (14.7%),,
İnfraoklüzyon,1/34 (2.9%),,
Toplam curuk sayisi (dmft_dmft),Medyan 1.5 (IQR 0.0–3.8),Ortalama 3.09 ± 3.90,Min–Maks 0–14
Curuk var (caries_any=1),24/34 (70.6%),%95 GA 53.8–83.2%,
Doku anomalisi var (doku_anomalisi_var=1),10/34 (29.4%),%95 GA 16.8–46.2%,
Gingivitis var (gingivitis=1),11/34 (32.4%),%95 GA 19.1–49.2%,
Infraokluzyon var (infraokluzyon_var=1),1/34 (2.9%),%95 GA 0.5–14.9%,
Doku anomalisi turu (doku_anomalisi),,,
Yok,24/34 (70.6%),,
Amelogenesis imperfecta,1/34 (2.9%),,
Dentinogenezis imperfecta,7/34 (20.6%),,
Hipoplazi,2/34 (5.9%),,
