endpoint,scenario,test,statistic,p,expected_min,p_holm_within_endpoint
doku_anomalisi_var_rt,Primary,chi2,7.881051587301588,0.09603389929848109,1.4705882352941178,0.28810169789544327
doku_anomalisi_var_rt,k=3,chi2,7.881051587301588,0.09603389929848109,1.4705882352941178,0.28810169789544327
doku_anomalisi_var_rt,k=4,chi2,7.881051587301588,0.09603389929848109,1.4705882352941178,0.28810169789544327
gingivitis,Primary,chi2,2.1898738942217206,0.7008835742096772,1.6176470588235294,1.0
gingivitis,k=3,chi2,2.1898738942217206,0.7008835742096772,1.6176470588235294,1.0
gingivitis,k=4,chi2,2.1898738942217206,0.7008835742096772,1.6176470588235294,1.0
caries_any_rt,Primary,chi2,8.242301587301586,0.08309492786795941,1.4705882352941178,0.24928478360387823
caries_any_rt,k=3,chi2,8.242301587301586,0.08309492786795941,1.4705882352941178,0.24928478360387823
caries_any_rt,k=4,chi2,8.242301587301586,0.08309492786795941,1.4705882352941178,0.24928478360387823
caries_count_rt,Primary,kruskal,5.311434807256259,0.25680838659371413,,0.7704251597811425
caries_count_rt,k=3,kruskal,5.311434807256259,0.25680838659371413,,0.7704251597811425
caries_count_rt,k=4,kruskal,5.311434807256259,0.25680838659371413,,0.7704251597811425
