file_name,source_path,content_summary,usage_purpose,tier,mode,copied_at
osteogenesis_imperfecta_camber_input_minimal_v1.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\02_source_data\raw_data\osteogenesis_imperfecta_camber_input_minimal_v1.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
codebook_v3_fixed.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\02_source_data\metadata\codebook_v3_fixed.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
publication_table1_overall_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\publication_table1_overall_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
publication_table2_by_gene_group_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\publication_table2_by_gene_group_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
publication_table3_inferential_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\publication_table3_inferential_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
robustness_panel_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\robustness_panel_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
cv_panel_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\cv_panel_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
verified_master_table_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\verified_master_table_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
analysis_gap_audit.md,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\analysis_gap_audit.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
supporting_alternative_grouping.csv,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\supporting_alternative_grouping.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
robustness_classification_table.csv,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\robustness_classification_table.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
cv_reporting_support_table.csv,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\cv_reporting_support_table.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
analysis_support_synthesis.md,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\analysis_support_synthesis.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
copilot_analysis_completion_report.md,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\copilot_analysis_completion_report.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
main_path_startup_audit.md,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\00_audit\main_path_startup_audit.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
supporting_alternative_grouping_revised.csv,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\04_supporting\supporting_alternative_grouping_revised.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
robustness_classification_table_revised.csv,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\05_robustness\robustness_classification_table_revised.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
cv_reporting_support_table_revised.csv,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\06_model_verification\cv_reporting_support_table_revised.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
