timestamp,from,to,reason
2026-04-17T21:08:05,"Users/centaurioun/Repos/osteogenesis_imperfecta\oi_oro_dental_master_FINAL_1_2.ipynb","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\notebooks\active\oi_oro_dental_master_FINAL_1_2.ipynb","active_notebook"
2026-04-17T21:08:05,"Users/centaurioun/Repos/osteogenesis_imperfecta\oi_oro_dental_master_FINAL_1_2.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\active\oi_oro_dental_master_FINAL_1_2.py","active_script"
2026-04-17T21:08:06,"Users/centaurioun/Repos/osteogenesis_imperfecta\build_FINAL.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\active\build_FINAL.py","active_script"
2026-04-17T21:08:06,"Users/centaurioun/Repos/osteogenesis_imperfecta\make_figures_final_1_2.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\active\make_figures_final_1_2.py","active_script"
2026-04-17T21:08:06,"Users/centaurioun/Repos/osteogenesis_imperfecta\make_figures_FINAL_1_2_TR.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\active\make_figures_FINAL_1_2_TR.py","active_script"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_1.ipynb","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\notebooks\legacy\oi_oro_dental_master_v3_1.ipynb","legacy_notebook"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_2_1.ipynb","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\notebooks\legacy\oi_oro_dental_master_v3_2_1.ipynb","legacy_notebook"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_2_2.ipynb","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\notebooks\legacy\oi_oro_dental_master_v3_2_2.ipynb","legacy_notebook"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_2_3.ipynb","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\notebooks\legacy\oi_oro_dental_master_v3_2_3.ipynb","legacy_notebook"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_2.ipynb","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\notebooks\legacy\oi_oro_dental_master_v3_2.ipynb","legacy_notebook"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3.ipynb","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\notebooks\legacy\oi_oro_dental_master_v3.ipynb","legacy_notebook"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_1.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\legacy\oi_oro_dental_master_v3_1.py","legacy_script"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_2_1.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\legacy\oi_oro_dental_master_v3_2_1.py","legacy_script"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_2_2.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\legacy\oi_oro_dental_master_v3_2_2.py","legacy_script"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_2_3.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\legacy\oi_oro_dental_master_v3_2_3.py","legacy_script"
2026-04-17T21:08:06,"K:\IdeaProjects\osteogenesis_imperfecta\oi_oro_dental_master_v3_2.py","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\scripts\legacy\oi_oro_dental_master_v3_2.py","legacy_script"
