"FullName","PSIsContainer","Length","LastWriteTime"
"K:\IdeaProjects\osteogenesis_imperfecta\.agents","True",,"22.03.2026 00:34:59"
"K:\IdeaProjects\osteogenesis_imperfecta\.codex","True",,"10.04.2026 19:04:42"
"K:\IdeaProjects\osteogenesis_imperfecta\.github","True",,"17.03.2026 15:42:07"
"K:\IdeaProjects\osteogenesis_imperfecta\.tmp.driveupload","True",,"17.04.2026 21:06:51"
"K:\IdeaProjects\osteogenesis_imperfecta\.venv","True",,"28.02.2026 08:07:38"
"K:\IdeaProjects\osteogenesis_imperfecta\.vscode","True",,"17.04.2026 20:44:14"
"K:\IdeaProjects\osteogenesis_imperfecta\00_governance","True",,"17.04.2026 21:07:19"
"K:\IdeaProjects\osteogenesis_imperfecta\01_data","True",,"17.04.2026 21:07:19"
"K:\IdeaProjects\osteogenesis_imperfecta\02_analysis","True",,"17.04.2026 21:07:19"
"K:\IdeaProjects\osteogenesis_imperfecta\03_outputs","True",,"17.04.2026 21:07:19"
"K:\IdeaProjects\osteogenesis_imperfecta\04_manuscript","True",,"17.04.2026 21:07:19"
"K:\IdeaProjects\osteogenesis_imperfecta\05_operations","True",,"17.04.2026 21:07:19"
"K:\IdeaProjects\osteogenesis_imperfecta\99_archive","True",,"17.04.2026 21:07:19"
"K:\IdeaProjects\osteogenesis_imperfecta\agents","True",,"17.03.2026 18:26:57"
"K:\IdeaProjects\osteogenesis_imperfecta\analysis_2026-04-10_20260410_074048","True",,"10.04.2026 07:44:41"
"K:\IdeaProjects\osteogenesis_imperfecta\analysis_documentation_package","True",,"17.03.2026 14:11:48"
"K:\IdeaProjects\osteogenesis_imperfecta\archive","True",,"28.02.2026 08:02:12"
"K:\IdeaProjects\osteogenesis_imperfecta\figures_FINAL_1_2","True",,"28.02.2026 12:27:31"
"K:\IdeaProjects\osteogenesis_imperfecta\figures_FINAL_1_2_TR","True",,"28.02.2026 12:43:57"
"K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion","True",,"14.03.2026 12:59:55"
"K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data","True",,"8.03.2026 22:06:51"
"K:\IdeaProjects\osteogenesis_imperfecta\miRNA_agent_prompts","True",,"17.03.2026 14:51:18"
"K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses","True",,"14.03.2026 12:21:43"
"K:\IdeaProjects\osteogenesis_imperfecta\oi_agent_prompts_draft","True",,"17.03.2026 15:25:15"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_FINAL","True",,"28.02.2026 10:35:43"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_FINAL_1","True",,"28.02.2026 10:55:00"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_FINAL_1_1","True",,"28.02.2026 11:09:10"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_FINAL_1_2","True",,"28.02.2026 13:27:30"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_v3","True",,"28.02.2026 08:10:58"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_v3_1","True",,"28.02.2026 08:33:16"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_v3_2","True",,"28.02.2026 09:05:45"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_v3_2_1","True",,"28.02.2026 09:29:24"
"K:\IdeaProjects\osteogenesis_imperfecta\outputs_v3_2_2","True",,"28.02.2026 09:52:01"
